PMID	genename	PTOterm	sent
17142477	SOS	salt sensitivity	Moreover, OsSOS1 suppressed the salt sensitivity of a sos1-1 mutant of Arabidopsis.
17142477	SOS	salt sensitivity	Moreover, OsSOS1 suppressed the salt sensitivity of a sos1-1 mutant of Arabidopsis.
17142477	AtSOS1	salt sensitivity	OsCIPK24 and OsCBL4 acted coordinately to activate OsSOS1 in yeast cells and they could be exchanged with their Arabidopsis counterpart to form heterologous protein kinase modules that activated both OsSOS1 and AtSOS1 and suppressed the salt sensitivity of sos2 and sos3 mutants of Arabidopsis.
17142477	SOS1	salt sensitivity	OsCIPK24 and OsCBL4 acted coordinately to activate OsSOS1 in yeast cells and they could be exchanged with their Arabidopsis counterpart to form heterologous protein kinase modules that activated both OsSOS1 and AtSOS1 and suppressed the salt sensitivity of sos2 and sos3 mutants of Arabidopsis.
17142477	AtSOS1	salt sensitivity	OsCIPK24 and OsCBL4 acted coordinately to activate OsSOS1 in yeast cells and they could be exchanged with their Arabidopsis counterpart to form heterologous protein kinase modules that activated both OsSOS1 and AtSOS1 and suppressed the salt sensitivity of sos2 and sos3 mutants of Arabidopsis.
17142477	SOS1	salt sensitivity	OsCIPK24 and OsCBL4 acted coordinately to activate OsSOS1 in yeast cells and they could be exchanged with their Arabidopsis counterpart to form heterologous protein kinase modules that activated both OsSOS1 and AtSOS1 and suppressed the salt sensitivity of sos2 and sos3 mutants of Arabidopsis.
17142477	sos2	salt sensitivity	OsCIPK24 and OsCBL4 acted coordinately to activate OsSOS1 in yeast cells and they could be exchanged with their Arabidopsis counterpart to form heterologous protein kinase modules that activated both OsSOS1 and AtSOS1 and suppressed the salt sensitivity of sos2 and sos3 mutants of Arabidopsis.
17142477	sos2	salt sensitivity	OsCIPK24 and OsCBL4 acted coordinately to activate OsSOS1 in yeast cells and they could be exchanged with their Arabidopsis counterpart to form heterologous protein kinase modules that activated both OsSOS1 and AtSOS1 and suppressed the salt sensitivity of sos2 and sos3 mutants of Arabidopsis.
17142477	sos3	salt sensitivity	OsCIPK24 and OsCBL4 acted coordinately to activate OsSOS1 in yeast cells and they could be exchanged with their Arabidopsis counterpart to form heterologous protein kinase modules that activated both OsSOS1 and AtSOS1 and suppressed the salt sensitivity of sos2 and sos3 mutants of Arabidopsis.
17142477	sos3	salt sensitivity	OsCIPK24 and OsCBL4 acted coordinately to activate OsSOS1 in yeast cells and they could be exchanged with their Arabidopsis counterpart to form heterologous protein kinase modules that activated both OsSOS1 and AtSOS1 and suppressed the salt sensitivity of sos2 and sos3 mutants of Arabidopsis.
17142477	SOS	salt sensitivity	OsCIPK24 and OsCBL4 acted coordinately to activate OsSOS1 in yeast cells and they could be exchanged with their Arabidopsis counterpart to form heterologous protein kinase modules that activated both OsSOS1 and AtSOS1 and suppressed the salt sensitivity of sos2 and sos3 mutants of Arabidopsis.
17142477	SOS	salt sensitivity	OsCIPK24 and OsCBL4 acted coordinately to activate OsSOS1 in yeast cells and they could be exchanged with their Arabidopsis counterpart to form heterologous protein kinase modules that activated both OsSOS1 and AtSOS1 and suppressed the salt sensitivity of sos2 and sos3 mutants of Arabidopsis.
17142477	SOS	salt tolerance	These results demonstrate that the SOS salt tolerance pathway operates in cereals and evidences a high degree of structural conservation among the SOS proteins from dicots and monocots.
17142477	SOS	salt tolerance	These results demonstrate that the SOS salt tolerance pathway operates in cereals and evidences a high degree of structural conservation among the SOS proteins from dicots and monocots.
17217471	PMM	protein content	Consistent with this finding, transgenic expression of an AtPMM-GFP fusion protein in Arabidopsis also increased AsA content by 25-33%.
17245561	NADP-ME2	MS	Transgenic Arabidopsis plants over-expressing NADP-ME2 grew well in 1/2 x MS medium with 100 mM NaCl or 4% mannitol, whereas growth of wild-type (WT) Arabidopsis seedlings was strongly inhibited.
17245561	NADP-ME2	MS	Transgenic Arabidopsis plants over-expressing NADP-ME2 grew well in 1/2 x MS medium with 100 mM NaCl or 4% mannitol, whereas growth of wild-type (WT) Arabidopsis seedlings was strongly inhibited.
17245561	NADP-ME2	MS	Transgenic Arabidopsis plants over-expressing NADP-ME2 grew well in 1/2 x MS medium with 100 mM NaCl or 4% mannitol, whereas growth of wild-type (WT) Arabidopsis seedlings was strongly inhibited.
17245561	NADP-ME2	MS	Transgenic Arabidopsis plants over-expressing NADP-ME2 grew well in 1/2 x MS medium with 100 mM NaCl or 4% mannitol, whereas growth of wild-type (WT) Arabidopsis seedlings was strongly inhibited.
17245561	NADP-ME2	MS	Transgenic Arabidopsis plants over-expressing NADP-ME2 grew well in 1/2 x MS medium with 100 mM NaCl or 4% mannitol, whereas growth of wild-type (WT) Arabidopsis seedlings was strongly inhibited.
17245561	NADP-ME2	stress tolerance	These results suggest that NADP-ME2 has a role in enhancing tolerance of plants to salt and osmotic stress.
17245561	NADP-ME2	stress tolerance	These results suggest that NADP-ME2 has a role in enhancing tolerance of plants to salt and osmotic stress.
17245561	NADP-ME2	stress tolerance	These results suggest that NADP-ME2 has a role in enhancing tolerance of plants to salt and osmotic stress.
17245561	NADP-ME2	stress tolerance	These results suggest that NADP-ME2 has a role in enhancing tolerance of plants to salt and osmotic stress.
17245561	NADP-ME2	stress tolerance	These results suggest that NADP-ME2 has a role in enhancing tolerance of plants to salt and osmotic stress.
17245561	NADP-ME2	salt tolerance	These results suggest that NADP-ME2 has a role in enhancing tolerance of plants to salt and osmotic stress.
17245561	NADP-ME2	salt tolerance	These results suggest that NADP-ME2 has a role in enhancing tolerance of plants to salt and osmotic stress.
17245561	NADP-ME2	salt tolerance	These results suggest that NADP-ME2 has a role in enhancing tolerance of plants to salt and osmotic stress.
17245561	NADP-ME2	salt tolerance	These results suggest that NADP-ME2 has a role in enhancing tolerance of plants to salt and osmotic stress.
17245561	NADP-ME2	salt tolerance	These results suggest that NADP-ME2 has a role in enhancing tolerance of plants to salt and osmotic stress.
17309686	NPR1	disease resistance	Investigation in depth is needed to provide an understanding of NPR1-mediated resistance and a practical strategy for the improvement of disease resistance in the model crop rice.
17309686	NPR1	disease resistance	Investigation in depth is needed to provide an understanding of NPR1-mediated resistance and a practical strategy for the improvement of disease resistance in the model crop rice.
17309686	NPR1	disease resistance	Investigation in depth is needed to provide an understanding of NPR1-mediated resistance and a practical strategy for the improvement of disease resistance in the model crop rice.
17309686	NPR1	disease resistance	Over-expression of OsNPR1 conferred disease resistance to bacterial blight, but also enhanced herbivore susceptibility in transgenic plants.
17309686	NPR1	disease resistance	Over-expression of OsNPR1 conferred disease resistance to bacterial blight, but also enhanced herbivore susceptibility in transgenic plants.
17309686	NPR1	disease resistance	Over-expression of OsNPR1 conferred disease resistance to bacterial blight, but also enhanced herbivore susceptibility in transgenic plants.
17309686	NPR1	disease susceptibility	Over-expression of OsNPR1 conferred disease resistance to bacterial blight, but also enhanced herbivore susceptibility in transgenic plants.
17309686	NPR1	disease susceptibility	Over-expression of OsNPR1 conferred disease resistance to bacterial blight, but also enhanced herbivore susceptibility in transgenic plants.
17309686	NPR1	disease susceptibility	Over-expression of OsNPR1 conferred disease resistance to bacterial blight, but also enhanced herbivore susceptibility in transgenic plants.
17309686	NPR1	bacterial disease resistance	Over-expression of OsNPR1 conferred disease resistance to bacterial blight, but also enhanced herbivore susceptibility in transgenic plants.
17309686	NPR1	bacterial disease resistance	Over-expression of OsNPR1 conferred disease resistance to bacterial blight, but also enhanced herbivore susceptibility in transgenic plants.
17309686	NPR1	bacterial disease resistance	Over-expression of OsNPR1 conferred disease resistance to bacterial blight, but also enhanced herbivore susceptibility in transgenic plants.
17309686	NPR1	bacterial blight disease resistance	Over-expression of OsNPR1 conferred disease resistance to bacterial blight, but also enhanced herbivore susceptibility in transgenic plants.
17309686	NPR1	bacterial blight disease resistance	Over-expression of OsNPR1 conferred disease resistance to bacterial blight, but also enhanced herbivore susceptibility in transgenic plants.
17309686	NPR1	bacterial blight disease resistance	Over-expression of OsNPR1 conferred disease resistance to bacterial blight, but also enhanced herbivore susceptibility in transgenic plants.
17507669	Pi36	An	Pi36 is a single-copy gene in rice and is more closely related to the barley powdery mildew resistance genes Mla1 and Mla6 than to the rice blast R genes Pita, Pib, Pi9, and Piz-t. An RT-PCR analysis showed that Pi36 is constitutively expressed in Kasalath.
17562186	DMC1	pollen sterility	The OsDMC1-RNAi lines grew normally during their vegetative phase but showed spikelet and pollen sterility.
17562186	DMC1	pollen sterility	The OsDMC1-RNAi lines grew normally during their vegetative phase but showed spikelet and pollen sterility.
17562186	DMC1	spikelet sterility	The OsDMC1-RNAi lines grew normally during their vegetative phase but showed spikelet and pollen sterility.
17562186	DMC1	spikelet sterility	The OsDMC1-RNAi lines grew normally during their vegetative phase but showed spikelet and pollen sterility.
17586689	KAT1	salt tolerance	Rice cells overexpressing OsKAT1 also showed enhanced salt tolerance and increased cellular K(+) content.
17586689	KAT1	salt tolerance	Rice cells overexpressing OsKAT1 also showed enhanced salt tolerance and increased cellular K(+) content.
17586689	KAT1	stress tolerance	These results suggest that OsKAT1 is involved in salt tolerance of rice in cooperation with other K(+) channels by participating in maintenance of cytosolic cation homeostasis during salt stress and thus protects cells from Na(+).
17586689	KAT1	stress tolerance	These results suggest that OsKAT1 is involved in salt tolerance of rice in cooperation with other K(+) channels by participating in maintenance of cytosolic cation homeostasis during salt stress and thus protects cells from Na(+).
17586689	KAT1	salt tolerance	These results suggest that OsKAT1 is involved in salt tolerance of rice in cooperation with other K(+) channels by participating in maintenance of cytosolic cation homeostasis during salt stress and thus protects cells from Na(+).
17586689	KAT1	salt tolerance	These results suggest that OsKAT1 is involved in salt tolerance of rice in cooperation with other K(+) channels by participating in maintenance of cytosolic cation homeostasis during salt stress and thus protects cells from Na(+).
17601827	WRKY45	blast disease resistance	RNA interference-mediated knockdown of WRKY45 compromised BTH-inducible resistance to blast disease, indicating that it is essential for BTH-induced defense responses.
17601827	WRKY45	blast disease resistance	RNA interference-mediated knockdown of WRKY45 compromised BTH-inducible resistance to blast disease, indicating that it is essential for BTH-induced defense responses.
17601827	WRKY45	disease resistance	RNA interference-mediated knockdown of WRKY45 compromised BTH-inducible resistance to blast disease, indicating that it is essential for BTH-induced defense responses.
17601827	WRKY45	disease resistance	RNA interference-mediated knockdown of WRKY45 compromised BTH-inducible resistance to blast disease, indicating that it is essential for BTH-induced defense responses.
17601827	WRKY45	disease resistance	We propose a role for WRKY45 in BTH-induced and SA-mediated defense signaling in rice and its potential utility in improving disease resistance of rice, an importance food resource worldwide.
17601827	WRKY45	disease resistance	We propose a role for WRKY45 in BTH-induced and SA-mediated defense signaling in rice and its potential utility in improving disease resistance of rice, an importance food resource worldwide.
17690841	BIN2	plant phenotype	The gene responsible for this GUS-positive phenotype was revealed by inverse PCR as OsGSK1 (Oryza sativa glycogen synthase kinase3-like gene 1), a member of the plant GSK3/SHAGGY-like protein kinase genes and an orthologue of the Arabidopsis brassinosteroid insensitive 2 (BIN2), AtSK21.
17690841	BIN2	plant phenotype	The gene responsible for this GUS-positive phenotype was revealed by inverse PCR as OsGSK1 (Oryza sativa glycogen synthase kinase3-like gene 1), a member of the plant GSK3/SHAGGY-like protein kinase genes and an orthologue of the Arabidopsis brassinosteroid insensitive 2 (BIN2), AtSK21.
17690841	BIN2	plant phenotype	The gene responsible for this GUS-positive phenotype was revealed by inverse PCR as OsGSK1 (Oryza sativa glycogen synthase kinase3-like gene 1), a member of the plant GSK3/SHAGGY-like protein kinase genes and an orthologue of the Arabidopsis brassinosteroid insensitive 2 (BIN2), AtSK21.
17690841	BIN2	plant phenotype	The gene responsible for this GUS-positive phenotype was revealed by inverse PCR as OsGSK1 (Oryza sativa glycogen synthase kinase3-like gene 1), a member of the plant GSK3/SHAGGY-like protein kinase genes and an orthologue of the Arabidopsis brassinosteroid insensitive 2 (BIN2), AtSK21.
17690841	BIN2	plant phenotype	The gene responsible for this GUS-positive phenotype was revealed by inverse PCR as OsGSK1 (Oryza sativa glycogen synthase kinase3-like gene 1), a member of the plant GSK3/SHAGGY-like protein kinase genes and an orthologue of the Arabidopsis brassinosteroid insensitive 2 (BIN2), AtSK21.
17690841	BIN2	plant phenotype	The gene responsible for this GUS-positive phenotype was revealed by inverse PCR as OsGSK1 (Oryza sativa glycogen synthase kinase3-like gene 1), a member of the plant GSK3/SHAGGY-like protein kinase genes and an orthologue of the Arabidopsis brassinosteroid insensitive 2 (BIN2), AtSK21.
17690841	AtSK21	plant phenotype	The gene responsible for this GUS-positive phenotype was revealed by inverse PCR as OsGSK1 (Oryza sativa glycogen synthase kinase3-like gene 1), a member of the plant GSK3/SHAGGY-like protein kinase genes and an orthologue of the Arabidopsis brassinosteroid insensitive 2 (BIN2), AtSK21.
17690841	AtSK21	plant phenotype	The gene responsible for this GUS-positive phenotype was revealed by inverse PCR as OsGSK1 (Oryza sativa glycogen synthase kinase3-like gene 1), a member of the plant GSK3/SHAGGY-like protein kinase genes and an orthologue of the Arabidopsis brassinosteroid insensitive 2 (BIN2), AtSK21.
17690841	AtSK21	plant phenotype	The gene responsible for this GUS-positive phenotype was revealed by inverse PCR as OsGSK1 (Oryza sativa glycogen synthase kinase3-like gene 1), a member of the plant GSK3/SHAGGY-like protein kinase genes and an orthologue of the Arabidopsis brassinosteroid insensitive 2 (BIN2), AtSK21.
17690841	AtSK21	plant phenotype	The gene responsible for this GUS-positive phenotype was revealed by inverse PCR as OsGSK1 (Oryza sativa glycogen synthase kinase3-like gene 1), a member of the plant GSK3/SHAGGY-like protein kinase genes and an orthologue of the Arabidopsis brassinosteroid insensitive 2 (BIN2), AtSK21.
17690841	AtSK21	plant phenotype	The gene responsible for this GUS-positive phenotype was revealed by inverse PCR as OsGSK1 (Oryza sativa glycogen synthase kinase3-like gene 1), a member of the plant GSK3/SHAGGY-like protein kinase genes and an orthologue of the Arabidopsis brassinosteroid insensitive 2 (BIN2), AtSK21.
17690841	AtSK21	plant phenotype	The gene responsible for this GUS-positive phenotype was revealed by inverse PCR as OsGSK1 (Oryza sativa glycogen synthase kinase3-like gene 1), a member of the plant GSK3/SHAGGY-like protein kinase genes and an orthologue of the Arabidopsis brassinosteroid insensitive 2 (BIN2), AtSK21.
17938955	opr3	male sterility	Furthermore, complementation analysis using an Arabidopsis opr3 mutant indicated that the OsOPR7 gene, but not OsOPR1, was able to complement the phenotypes of male sterility in the mutant caused by JA deficiency, and that JA production in the opr3 mutant was also restored by the expression of the OsOPR7 gene.
18071708	AtSPO11-1	stress tolerance	Although AtSPO11-1, the homolog of OsTOP6A1 in Arabidopsis, has been implicated in meiotic recombination; the present study demonstrates possible additional role of OsTOP6A1 and provides an effective tool for engineering crop plants for tolerance to different environmental stresses.
18071708	AtSPO11-1	stress tolerance	Although AtSPO11-1, the homolog of OsTOP6A1 in Arabidopsis, has been implicated in meiotic recombination; the present study demonstrates possible additional role of OsTOP6A1 and provides an effective tool for engineering crop plants for tolerance to different environmental stresses.
18071708	AtSPO11-1	stress tolerance	Although AtSPO11-1, the homolog of OsTOP6A1 in Arabidopsis, has been implicated in meiotic recombination; the present study demonstrates possible additional role of OsTOP6A1 and provides an effective tool for engineering crop plants for tolerance to different environmental stresses.
18071708	AtSPO11-1	stress tolerance	Although AtSPO11-1, the homolog of OsTOP6A1 in Arabidopsis, has been implicated in meiotic recombination; the present study demonstrates possible additional role of OsTOP6A1 and provides an effective tool for engineering crop plants for tolerance to different environmental stresses.
18071708	AtSPO11-1	stress tolerance	Although AtSPO11-1, the homolog of OsTOP6A1 in Arabidopsis, has been implicated in meiotic recombination; the present study demonstrates possible additional role of OsTOP6A1 and provides an effective tool for engineering crop plants for tolerance to different environmental stresses.
18071708	AtSPO11-1	stress tolerance	Although AtSPO11-1, the homolog of OsTOP6A1 in Arabidopsis, has been implicated in meiotic recombination; the present study demonstrates possible additional role of OsTOP6A1 and provides an effective tool for engineering crop plants for tolerance to different environmental stresses.
18071708	AtSPO11-1	stress tolerance	Although AtSPO11-1, the homolog of OsTOP6A1 in Arabidopsis, has been implicated in meiotic recombination; the present study demonstrates possible additional role of OsTOP6A1 and provides an effective tool for engineering crop plants for tolerance to different environmental stresses.
18156216	HSP90	disease resistance	RAR1 (for required for Mla12 resistance) and HSP90 (a heat shock protein 90 kD) are important components of R gene-mediated disease resistance, and their function is conserved in several plant species.
18162592	PSY	ABA response	We showed that PSY3 encodes a functional enzyme for which maize transcript levels are regulated in response to abiotic stresses, drought, salt, and ABA.
18162592	PSY	ABA response	We showed that PSY3 encodes a functional enzyme for which maize transcript levels are regulated in response to abiotic stresses, drought, salt, and ABA.
18162592	PSY	ABA response	Drought-stressed roots showed elevated PSY3 transcripts and ABA, responses reversed by rehydration.
18162592	PSY	ABA response	Drought-stressed roots showed elevated PSY3 transcripts and ABA, responses reversed by rehydration.
18162592	PSY	root yield	Our results suggest that PSY3 expression influences root carotenogenesis and defines a potential bottleneck upstream of NCED; further examination of PSY3 in the grasses is of value for better understanding root-specific stress responses that impact plant yield.
18162592	PSY	root yield	Our results suggest that PSY3 expression influences root carotenogenesis and defines a potential bottleneck upstream of NCED; further examination of PSY3 in the grasses is of value for better understanding root-specific stress responses that impact plant yield.
18248596	ems1	male sterility	Like mac1 and msp1, exs/ems1 mutants produce extra sporocytes in the anther instead of a tapetum, causing male sterility.
18257679	rar1	disease resistance	They displayed conserved roles in Arabidopsis disease resistance through ectopic expression in the Arabidopsis rar1 and sgt1 mutants.
18257679	rar1	disease resistance	They displayed conserved roles in Arabidopsis disease resistance through ectopic expression in the Arabidopsis rar1 and sgt1 mutants.
18257679	rar1	disease resistance	They displayed conserved roles in Arabidopsis disease resistance through ectopic expression in the Arabidopsis rar1 and sgt1 mutants.
18257679	sgt1	disease resistance	They displayed conserved roles in Arabidopsis disease resistance through ectopic expression in the Arabidopsis rar1 and sgt1 mutants.
18257679	sgt1	disease resistance	They displayed conserved roles in Arabidopsis disease resistance through ectopic expression in the Arabidopsis rar1 and sgt1 mutants.
18257679	sgt1	disease resistance	They displayed conserved roles in Arabidopsis disease resistance through ectopic expression in the Arabidopsis rar1 and sgt1 mutants.
18257679	SGT1	auxin sensitivity	Consistent with the hypothesis of the dominant negative regulation, we observed the reduced sensitivity to auxin of OsSGT1-GFP plants compared with the wild-type ones, and the curling-root phenotype in OsSGT1-OE plants.
18257679	SGT1	auxin sensitivity	Consistent with the hypothesis of the dominant negative regulation, we observed the reduced sensitivity to auxin of OsSGT1-GFP plants compared with the wild-type ones, and the curling-root phenotype in OsSGT1-OE plants.
18257679	SGT1	auxin sensitivity	Consistent with the hypothesis of the dominant negative regulation, we observed the reduced sensitivity to auxin of OsSGT1-GFP plants compared with the wild-type ones, and the curling-root phenotype in OsSGT1-OE plants.
18257679	SGT1	plant phenotype	Consistent with the hypothesis of the dominant negative regulation, we observed the reduced sensitivity to auxin of OsSGT1-GFP plants compared with the wild-type ones, and the curling-root phenotype in OsSGT1-OE plants.
18257679	SGT1	plant phenotype	Consistent with the hypothesis of the dominant negative regulation, we observed the reduced sensitivity to auxin of OsSGT1-GFP plants compared with the wild-type ones, and the curling-root phenotype in OsSGT1-OE plants.
18257679	SGT1	plant phenotype	Consistent with the hypothesis of the dominant negative regulation, we observed the reduced sensitivity to auxin of OsSGT1-GFP plants compared with the wild-type ones, and the curling-root phenotype in OsSGT1-OE plants.
18257679	SGT1	disease resistance	These results collectively suggest that OsRar1 and OsSGT1 might be differentially required for rice basal disease resistance.
18257679	SGT1	disease resistance	These results collectively suggest that OsRar1 and OsSGT1 might be differentially required for rice basal disease resistance.
18257679	SGT1	disease resistance	These results collectively suggest that OsRar1 and OsSGT1 might be differentially required for rice basal disease resistance.
18257679	SGT1	disease resistance	Our current study also provides new insight into the roles of OsSGT1 in basal disease resistance.
18257679	SGT1	disease resistance	Our current study also provides new insight into the roles of OsSGT1 in basal disease resistance.
18257679	SGT1	disease resistance	Our current study also provides new insight into the roles of OsSGT1 in basal disease resistance.
18296724	dynamin	plant phenotype	Moreover, an analysis of Arabidopsis dynamin mutants indicated that although the flowering times of the mutants were not different from those of wild-type plants, an aerial rosette phenotype was observed in the mutants.
18441339	AtApx1	stress tolerance	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx1	stress tolerance	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx1	stress tolerance	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx1	stress tolerance	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx2	stress tolerance	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx2	stress tolerance	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx2	stress tolerance	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx2	stress tolerance	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtFSD1	stress tolerance	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtFSD1	stress tolerance	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtFSD1	stress tolerance	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtFSD1	stress tolerance	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx1	oxidative stress	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx1	oxidative stress	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx1	oxidative stress	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx1	oxidative stress	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx2	oxidative stress	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx2	oxidative stress	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx2	oxidative stress	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtApx2	oxidative stress	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtFSD1	oxidative stress	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtFSD1	oxidative stress	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtFSD1	oxidative stress	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18441339	AtFSD1	oxidative stress	Moreover, the OsBIRH1 transgenic Arabidopsis plants also showed increased tolerance to oxidative stress and elevated expression levels of oxidative defence genes, AtApx1, AtApx2, and AtFSD1.
18593528	PMP3	salt sensitivity	Expression of PutPMP3-1 and PutPMP3-2 in yeast mutants lacking the PMP3 gene can functionally complement the membrane hyperpolarization and salt sensitivity phenotypes resulting from PMP3 deletion.
18593528	PMP3	salt sensitivity	Expression of PutPMP3-1 and PutPMP3-2 in yeast mutants lacking the PMP3 gene can functionally complement the membrane hyperpolarization and salt sensitivity phenotypes resulting from PMP3 deletion.
18593528	PMP3	salt sensitivity	Expression of PutPMP3-1 and PutPMP3-2 in yeast mutants lacking the PMP3 gene can functionally complement the membrane hyperpolarization and salt sensitivity phenotypes resulting from PMP3 deletion.
18593528	PMP3	stress tolerance	These results imply that these PMP3 family members don't function identically under different stress tolerance conditions.
18593528	PMP3	stress tolerance	These results imply that these PMP3 family members don't function identically under different stress tolerance conditions.
18593528	PMP3	stress tolerance	These results imply that these PMP3 family members don't function identically under different stress tolerance conditions.
18723578	RACK1	disease resistance	RACK1A was shown to interact with the N terminus of NADPH oxidase, RAR1, and SGT1, key regulators of plant disease resistance.
18820699	prog1	grain number	prog1 variants identified in O. sativa disrupt the prog1 function and inactivate prog1 expression, leading to erect growth, greater grain number and higher grain yield in cultivated rice.
18980655	rim1-1	leafhopper	The rim1-1 mutant remained susceptible to the two other viruses tested, one of which is also transmitted by leafhoppers, suggesting that the multiplication rather than transmission of RDV is specifically impaired in this mutant.
19033192	SaM	male sterility	Here we show that a locus for indica-japonica hybrid male sterility, Sa, comprises two adjacent genes, SaM and SaF, encoding a small ubiquitin-like modifier E3 ligase-like protein and an F-box protein, respectively.
19033192	SaF	male sterility	Here we show that a locus for indica-japonica hybrid male sterility, Sa, comprises two adjacent genes, SaM and SaF, encoding a small ubiquitin-like modifier E3 ligase-like protein and an F-box protein, respectively.
19033192	SaM	male sterility	This allele-specific gamete elimination results from a selective interaction of SaF(+) with SaM(-), a truncated protein, but not with SaM(+) because of the presence of an inhibitory domain, although SaM(+) is required for this male sterility.
19033192	SaF	male sterility	This allele-specific gamete elimination results from a selective interaction of SaF(+) with SaM(-), a truncated protein, but not with SaM(+) because of the presence of an inhibitory domain, although SaM(+) is required for this male sterility.
19039666	RLK	disease resistance	This provides functional evidence that induction of OsWAK1 as a novel RLK plays important roles in plant disease resistance.
19211695	AtJMT	fill grain number	Grain yield was greatly reduced in Ubi1:AtJMT plants due to a lower numbers of spikelets and lower filling rates than were observed for nontransgenic (NT) controls.
19211695	AtJMT	fill grain number	Grain yield was greatly reduced in Ubi1:AtJMT plants due to a lower numbers of spikelets and lower filling rates than were observed for nontransgenic (NT) controls.
19211695	AtJMT	fill grain number	Grain yield was greatly reduced in Ubi1:AtJMT plants due to a lower numbers of spikelets and lower filling rates than were observed for nontransgenic (NT) controls.
19211695	AtJMT	fill grain number	Grain yield was greatly reduced in Ubi1:AtJMT plants due to a lower numbers of spikelets and lower filling rates than were observed for nontransgenic (NT) controls.
19211695	AtJMT	fill grain number	Grain yield was greatly reduced in Ubi1:AtJMT plants due to a lower numbers of spikelets and lower filling rates than were observed for nontransgenic (NT) controls.
